Pos.,No.,Driver,Constructor,Q1,Q2,Q3,Grid
1,44,Lewis Hamilton,Mercedes,1:16.588,1:15.864,1:15.098,1
2,6,Nico Rosberg,Mercedes,1:16.528,1:15.471,1:15.440,2
3,5,Sebastian Vettel,Ferrari,1:17.502,1:16.181,1:15.849,3
4,3,Daniel Ricciardo,Red Bull Racing-Renault,1:17.254,1:16.706,1:16.041,4
5,26,Daniil Kvyat,Red Bull Racing-Renault,1:16.845,1:16.453,1:16.182,5
6,7,Kimi Räikkönen,Ferrari,1:17.660,1:16.440,1:16.427,6
7,11,Sergio Pérez,Force India-Mercedes,1:17.376,1:16.999,1:16.808,7
8,55,Carlos Sainz Jr.,Toro Rosso-Renault,1:17.246,1:16.762,1:16.931,PL
9,13,Pastor Maldonado,Lotus-Mercedes,1:17.630,1:16.775,1:16.946,8
10,33,Max Verstappen,Toro Rosso-Renault,1:16.750,1:16.546,1:16.957,9
11,8,Romain Grosjean,Lotus-Mercedes,1:17.767,1:17.007,,15
12,22,Jenson Button,McLaren-Honda,1:17.492,1:17.093,,10
13,27,Nico Hülkenberg,Force India-Mercedes,1:17.552,1:17.193,,11
14,19,Felipe Massa,Williams-Mercedes,1:17.679,1:17.278,,12
15,14,Fernando Alonso,McLaren-Honda,1:17.778,1:26.632,,13
16,12,Felipe Nasr,Sauber-Ferrari,1:18.101,,,14
17,77,Valtteri Bottas,Williams-Mercedes,1:18.434,,,16
18,9,Marcus Ericsson,Sauber-Ferrari,1:18.513,,,17
19,28,Will Stevens,Marussia-Ferrari,1:20.655,,,18
20,98,Roberto Merhi,Marussia-Ferrari,1:20.904,,,19
107% time: 1:21.884
Source:
